stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stage1,5,5,0.25,cosine,42,225,30.0,eom,0.0,euclidean,6,0.5685701233439927,6223,573,377,1437,0.1312928277752398,0.3105527638190954,0.9338449951117862,0.5759305619004111,ok,完成
stage1,5,5,0.25,cosine,42,250,,eom,0.0,euclidean,2,0.6866148926450434,7515,3011,419,3011,0.2751027866605756,0.3133851073549566,0.5355307121348009,0.464807674737323,ok,完成
stage1,5,5,0.25,cosine,42,250,10.0,eom,0.0,euclidean,7,0.479671082686158,5250,1286,496,1950,0.1781635449977158,0.3523983554134308,0.902729923355734,0.5881699406121517,ok,完成
stage1,5,5,0.25,cosine,42,250,30.0,eom,0.0,euclidean,6,0.5685701233439927,6223,573,377,1437,0.1312928277752398,0.3105527638190954,0.9338449951117862,0.5759305619004111,ok,完成
stage1,5,5,0.25,cosine,42,300,,eom,0.0,euclidean,2,0.8953860210141618,9800,360,785,785,0.0717222476016445,0.1046139789858382,0.8981991694077215,0.5049447236180904,ok,完成
stage1,5,5,0.25,cosine,42,300,10.0,eom,0.0,euclidean,7,0.479671082686158,5250,1286,496,1950,0.1781635449977158,0.3523983554134308,0.902729923355734,0.5881699406121517,ok,完成
stage1,5,5,0.25,cosine,42,300,30.0,eom,0.0,euclidean,6,0.5685701233439927,6223,573,377,1437,0.1312928277752398,0.3105527638190954,0.9338449951117862,0.5759305619004111,ok,完成
stage1,5,10,0.0,cosine,42,50,,eom,0.0,euclidean,2,0.0076747373229785,84,75,10786,10786,0.9854728186386478,0.9923252626770216,0.0594955778228518,0.3195906806761078,ok,完成
stage1,5,10,0.0,cosine,42,50,10.0,eom,0.0,euclidean,38,0.319780721790772,3500,75,75,739,0.0675194152581087,0.164824120603015,0.9251888909348552,0.8508451347647328,ok,完成
stage1,5,10,0.0,cosine,42,50,30.0,eom,0.0,euclidean,29,0.2754682503426222,3015,75,75,2526,0.2307903152124257,0.3410689812699863,0.7965723912400197,0.7799086340794883,ok,完成
stage1,5,10,0.0,cosine,42,75,,eom,0.0,euclidean,17,0.3627227044312471,3970,90,125,2275,0.2078574691640018,0.3305619004111466,0.8234760693511513,0.698713567839196,ok,完成
